ID,Revenu (€),Montant du Prêt (€),Durée de l'Emploi (années),Historique de Crédit,Prêt Approuvé
2597,1784,16179,10,Mauvais,Non
2598,3633,10577,1,Mauvais,Non
2599,2440,9796,5,Mauvais,Non
2600,2889,19935,4,Mauvais,Non
2601,3047,19213,3,Bon,Non
2602,2475,13219,8,Bon,Non
2603,4296,8285,9,Mauvais,Non
2604,4219,11602,1,Mauvais,Non
2605,4911,5912,8,Mauvais,Non
2606,4023,5618,6,Mauvais,Non
2607,3544,17200,10,Bon,Non
2608,3355,10831,5,Bon,Non
2609,4292,7685,10,Bon,Oui
2610,3273,12738,1,Mauvais,Non
2611,1979,9134,6,Mauvais,Non
2612,3795,9200,7,Bon,Non
2613,4155,14908,1,Mauvais,Non
2614,3660,12120,3,Bon,Non
2615,4032,9906,8,Bon,Non
2616,2207,11185,8,Mauvais,Non
2617,4599,5580,1,Mauvais,Non
2618,3987,18479,1,Mauvais,Non
2619,4271,2109,7,Mauvais,Non
2620,4963,5231,7,Mauvais,Non
2621,1648,11437,6,Bon,Non
2622,2312,9491,5,Bon,Non
2623,4958,8410,6,Mauvais,Non
2624,3009,19153,10,Bon,Non
2625,2567,11136,4,Bon,Non
2626,1880,2258,2,Bon,Oui
2627,3639,16587,4,Bon,Non
2628,1560,14783,2,Bon,Non
2629,2912,13958,6,Bon,Non
2630,1637,5058,3,Mauvais,Non
2631,1838,7985,5,Mauvais,Non
2632,3359,7596,3,Mauvais,Non
2633,1516,4720,3,Bon,Non
2634,3349,13140,5,Mauvais,Non
2635,1633,6302,7,Bon,Non
2636,4240,18776,1,Bon,Non
2637,4276,14475,8,Mauvais,Non
2638,1831,9304,10,Bon,Non
2639,2499,12588,4,Mauvais,Non
2640,4618,2027,1,Bon,Oui
2641,2817,14190,10,Bon,Non
2642,4799,9484,6,Bon,Oui
2643,3845,3008,8,Mauvais,Non
2644,2772,10247,5,Bon,Non
2645,4594,16908,6,Bon,Non
2646,2131,14461,4,Bon,Non
2647,3508,8093,10,Mauvais,Non
2648,2943,16662,5,Mauvais,Non
2649,4800,10762,1,Bon,Non
2650,3030,19836,1,Bon,Non
2651,3304,4004,7,Bon,Oui
2652,2296,14282,6,Bon,Non
2653,4939,16316,10,Bon,Non
2654,1737,17778,6,Bon,Non
2655,3179,9878,2,Mauvais,Non
2656,2199,8623,2,Bon,Non
2657,2910,3814,7,Bon,Oui
2658,4990,19637,10,Mauvais,Non
2659,1526,2841,6,Bon,Oui
2660,2353,11773,10,Bon,Non
2661,3301,18155,4,Bon,Non
2662,4667,14821,2,Mauvais,Non
2663,2538,12174,2,Mauvais,Non
2664,3275,7548,4,Bon,Non
2665,3877,7061,7,Mauvais,Non
2666,3860,5906,2,Bon,Oui
2667,4506,7788,4,Mauvais,Non
2668,3034,5883,5,Mauvais,Non
2669,3494,13668,9,Mauvais,Non
2670,3465,8377,4,Bon,Non
2671,3424,18247,2,Mauvais,Non
2672,3385,2483,5,Mauvais,Non
2673,1661,15269,2,Mauvais,Non
2674,2197,18393,4,Mauvais,Non
2675,2069,11463,7,Mauvais,Non
2676,3791,11669,5,Mauvais,Non
2677,1904,9982,9,Bon,Non
2678,2106,15798,2,Bon,Non
2679,1901,18655,9,Bon,Non
2680,3555,8918,3,Mauvais,Non
2681,1579,15095,6,Bon,Non
2682,4446,3905,1,Bon,Oui
2683,4073,15728,3,Bon,Non
2684,4222,10928,9,Bon,Non
2685,2830,14748,9,Bon,Non
2686,3814,5156,4,Bon,Oui
2687,4187,9502,7,Mauvais,Non
2688,4247,13340,7,Mauvais,Non
2689,4556,17640,3,Bon,Non
2690,4755,8271,3,Mauvais,Non
2691,4042,9058,7,Mauvais,Non
2692,3127,4139,8,Mauvais,Non
2693,1662,3240,5,Bon,Oui
2694,3303,18793,2,Bon,Non
2695,2987,5795,3,Mauvais,Non
2696,1807,4235,9,Bon,Non
2697,2384,8993,5,Bon,Non
2698,2971,9094,9,Bon,Non
2699,1655,6435,4,Bon,Non
2700,3023,15372,8,Mauvais,Non
2701,2395,18362,5,Mauvais,Non
2702,4419,14405,5,Bon,Non
2703,3304,10338,8,Mauvais,Non
2704,1930,14761,10,Bon,Non
2705,2411,16669,9,Mauvais,Non
2706,1805,3513,10,Bon,Oui
2707,4930,2274,10,Mauvais,Non
2708,4250,5963,7,Bon,Oui
2709,4811,7767,4,Bon,Oui
2710,2331,6790,8,Bon,Non
2711,1744,16752,3,Bon,Non
2712,2316,15290,4,Bon,Non
2713,3664,5426,2,Bon,Oui
2714,2000,18044,6,Bon,Non
2715,3129,6421,2,Mauvais,Non
2716,1791,10599,7,Mauvais,Non
2717,1921,8507,10,Bon,Non
2718,2654,11313,7,Bon,Non
2719,3348,10887,8,Bon,Non
2720,4973,18894,4,Mauvais,Non
2721,4365,4849,8,Bon,Oui
2722,1690,8142,8,Mauvais,Non
2723,3618,11331,4,Bon,Non
2724,3138,16889,8,Mauvais,Non
2725,1916,16530,2,Mauvais,Non
2726,3156,11928,8,Bon,Non
2727,2657,17427,3,Mauvais,Non
2728,2679,18928,9,Bon,Non
2729,3455,19036,6,Mauvais,Non
2730,2780,13675,10,Bon,Non
2731,2984,16542,10,Mauvais,Non
2732,2318,4087,1,Mauvais,Non
2733,3731,16056,7,Mauvais,Non
2734,3941,14523,10,Mauvais,Non
2735,3897,5062,1,Bon,Oui
2736,4675,6575,2,Bon,Oui
2737,1719,19829,4,Mauvais,Non
2738,4918,16384,1,Bon,Non
2739,4448,10228,4,Bon,Non
2740,2815,9538,9,Bon,Non
2741,4887,14473,8,Mauvais,Non
2742,4756,7776,1,Bon,Oui
2743,3972,8729,6,Bon,Non
2744,3834,5772,2,Bon,Oui
2745,4808,10389,1,Bon,Non
2746,4758,5492,1,Mauvais,Non
2747,1766,18144,10,Mauvais,Non
2748,1788,18653,4,Bon,Non
2749,4475,3987,5,Mauvais,Non
2750,3066,6774,9,Bon,Non
2751,2358,7867,1,Bon,Non
2752,1576,15908,4,Bon,Non
2753,3088,8612,9,Mauvais,Non
2754,1521,6728,7,Bon,Non
2755,2025,8751,5,Mauvais,Non
2756,3817,19848,7,Mauvais,Non
2757,4178,9158,2,Bon,Non
2758,3292,7246,2,Bon,Non
2759,3680,16299,9,Mauvais,Non
2760,2214,7418,3,Bon,Non
2761,2625,7631,1,Mauvais,Non
2762,2918,3465,3,Mauvais,Non
2763,3897,6711,6,Bon,Oui
2764,4344,8055,10,Mauvais,Non
2765,3547,6048,4,Bon,Oui
2766,2116,10378,1,Mauvais,Non
2767,2533,4583,2,Mauvais,Non
2768,4155,5857,9,Bon,Oui
2769,3092,10165,5,Bon,Non
2770,2782,4431,2,Bon,Oui
2771,4114,9748,3,Mauvais,Non
2772,2834,15513,3,Mauvais,Non
2773,1965,6839,7,Bon,Non
2774,2430,17232,3,Mauvais,Non
2775,4324,13885,3,Mauvais,Non
2776,3282,2798,5,Mauvais,Non
2777,4024,11292,9,Mauvais,Non
2778,2969,15567,1,Mauvais,Non
2779,1655,11122,4,Bon,Non
2780,4255,9099,10,Bon,Non
2781,1957,19427,3,Bon,Non
2782,3150,3864,2,Mauvais,Non
2783,1518,8395,2,Mauvais,Non
2784,2559,5464,1,Mauvais,Non
2785,2265,15770,7,Bon,Non
2786,4281,12616,9,Bon,Non
2787,4237,10616,7,Mauvais,Non
2788,3024,17085,3,Bon,Non
2789,3981,7472,3,Mauvais,Non
2790,2084,6543,7,Mauvais,Non
2791,4909,18845,3,Mauvais,Non
2792,4834,4711,2,Bon,Oui
2793,3629,12045,2,Bon,Non
2794,1944,12357,4,Bon,Non
2795,2154,2405,5,Bon,Oui
2796,4705,11224,5,Bon,Non
2797,4375,10782,4,Bon,Non
2798,3162,19050,3,Mauvais,Non
2799,2604,9296,5,Bon,Non
2800,3666,18529,5,Bon,Non
2801,3435,6966,10,Mauvais,Non
2802,1984,8077,6,Mauvais,Non
2803,4478,8720,4,Mauvais,Non
2804,4661,12201,9,Bon,Non
2805,4592,14887,2,Bon,Non
2806,4086,9569,4,Bon,Non
2807,1773,12362,1,Mauvais,Non
2808,1882,15851,1,Bon,Non
2809,4033,10120,3,Mauvais,Non
2810,2370,17679,3,Mauvais,Non
2811,1792,11104,8,Mauvais,Non
2812,2564,4153,9,Bon,Oui
2813,2201,7213,8,Bon,Non
2814,1702,13866,10,Mauvais,Non
2815,3429,11962,8,Bon,Non
2816,2485,18055,9,Bon,Non
2817,3316,16227,1,Mauvais,Non
2818,3696,18441,4,Mauvais,Non
2819,2564,8480,2,Mauvais,Non
2820,2047,13547,2,Mauvais,Non
2821,3969,3556,9,Mauvais,Non
2822,3637,2736,3,Mauvais,Non
2823,1522,3440,5,Bon,Non
2824,2257,15277,2,Bon,Non
2825,4878,15074,6,Mauvais,Non
2826,1539,10034,5,Mauvais,Non
2827,3541,14996,8,Mauvais,Non
2828,2657,10546,9,Bon,Non
2829,1854,2464,6,Bon,Oui
2830,1971,8773,4,Bon,Non
2831,3893,6942,5,Bon,Oui
2832,3317,15347,5,Mauvais,Non
2833,4552,7436,3,Bon,Oui
2834,4490,19925,4,Bon,Non
2835,1717,4329,3,Mauvais,Non
2836,2957,3125,7,Mauvais,Non
2837,2003,8079,9,Bon,Non
2838,2447,13432,9,Bon,Non
2839,2402,11091,9,Bon,Non
2840,2312,14521,7,Bon,Non
2841,2967,17600,5,Mauvais,Non
2842,1808,6674,6,Mauvais,Non
2843,4912,19460,5,Mauvais,Non
2844,4566,2864,9,Mauvais,Non
2845,2775,14194,9,Bon,Non
2846,3728,12862,9,Bon,Non
2847,2805,14790,6,Bon,Non
2848,2605,16718,5,Mauvais,Non
2849,3277,13213,1,Mauvais,Non
2850,4257,9677,5,Mauvais,Non
2851,3976,16768,1,Mauvais,Non
2852,2045,4678,3,Mauvais,Non
2853,4143,17730,7,Mauvais,Non
2854,3419,14660,4,Mauvais,Non
2855,4422,4435,8,Bon,Oui
2856,2540,16511,3,Mauvais,Non
2857,3047,4945,2,Mauvais,Non
2858,3966,13018,6,Mauvais,Non
2859,3498,2214,6,Mauvais,Non
2860,3410,3123,2,Bon,Oui
2861,1568,13008,8,Mauvais,Non
2862,2871,6429,4,Mauvais,Non
2863,2116,18247,4,Mauvais,Non
2864,4449,18346,3,Bon,Non
2865,3715,16907,2,Bon,Non
2866,2209,11627,6,Bon,Non
2867,4693,5714,10,Mauvais,Non
2868,2738,7516,10,Mauvais,Non
2869,1750,9008,9,Bon,Non
2870,4625,15885,8,Bon,Non
2871,3205,18575,8,Bon,Non
2872,4213,14032,3,Mauvais,Non
2873,2575,5019,8,Bon,Oui
2874,2315,13080,2,Mauvais,Non
2875,2937,9438,7,Mauvais,Non
2876,2107,4633,9,Mauvais,Non
2877,2365,6446,10,Bon,Non
2878,3011,19036,5,Bon,Non
2879,1704,7607,10,Mauvais,Non
2880,4004,13554,9,Bon,Non
2881,1518,10382,8,Bon,Non
2882,2687,8399,7,Bon,Non
2883,4660,7185,3,Mauvais,Non
2884,4342,6174,7,Mauvais,Non
2885,1872,15411,8,Mauvais,Non
2886,3230,12650,8,Mauvais,Non
2887,4901,4054,6,Bon,Oui
2888,3731,2964,10,Mauvais,Non
2889,4303,15638,9,Mauvais,Non
2890,3840,11497,8,Mauvais,Non
2891,3184,19091,10,Bon,Non
2892,4759,8280,9,Bon,Oui
2893,3413,3309,7,Bon,Oui
2894,2748,15262,4,Bon,Non
2895,4506,14477,7,Mauvais,Non
2896,3232,10608,4,Bon,Non
2897,2644,8153,9,Bon,Non
2898,3007,11200,5,Bon,Non
2899,3986,3867,10,Mauvais,Non
2900,1595,18462,8,Mauvais,Non
2901,4949,2859,4,Mauvais,Non
2902,4319,8948,9,Mauvais,Non
2903,4441,10528,8,Bon,Non
2904,2179,12727,10,Mauvais,Non
2905,4051,3965,10,Bon,Oui
2906,2084,4575,9,Mauvais,Non
2907,3343,16123,1,Mauvais,Non
2908,4063,11480,10,Bon,Non
2909,3573,4267,8,Mauvais,Non
2910,3929,7591,2,Bon,Oui
2911,4150,15114,1,Bon,Non
2912,4839,12425,3,Bon,Non
2913,4927,18098,10,Mauvais,Non
2914,2741,7999,3,Mauvais,Non
2915,1769,6185,2,Bon,Non
2916,3914,13616,7,Bon,Non
2917,3573,19251,1,Bon,Non
2918,4494,9129,5,Mauvais,Non
2919,2900,13878,6,Bon,Non
2920,2495,7863,9,Bon,Non
2921,3227,17494,8,Mauvais,Non
2922,4186,11857,3,Mauvais,Non
2923,3539,5902,4,Mauvais,Non
2924,2371,6856,5,Mauvais,Non
2925,4531,18480,8,Mauvais,Non
2926,2243,7571,4,Bon,Non
2927,1909,16413,2,Bon,Non
2928,1634,5110,3,Mauvais,Non
2929,1901,2861,2,Bon,Oui
2930,4100,17428,1,Mauvais,Non
2931,4135,17982,10,Mauvais,Non
2932,2235,10503,6,Bon,Non
2933,3429,17240,4,Mauvais,Non
2934,2433,17695,7,Bon,Non
2935,4358,18912,7,Bon,Non
2936,2829,5343,3,Mauvais,Non
2937,4500,4380,5,Mauvais,Non
2938,4593,17461,1,Mauvais,Non
2939,2272,18247,3,Bon,Non
2940,2449,17997,5,Mauvais,Non
2941,4607,13372,1,Mauvais,Non
2942,4667,11630,2,Mauvais,Non
2943,3073,18932,6,Bon,Non
2944,2824,3667,6,Bon,Oui
2945,3275,13946,4,Bon,Non
2946,3816,16737,2,Bon,Non
2947,2367,18218,1,Bon,Non
2948,2737,4329,6,Bon,Oui
2949,2061,2872,1,Mauvais,Non
2950,4701,15055,3,Bon,Non
2951,4893,16843,1,Mauvais,Non
2952,1657,13499,4,Bon,Non
2953,4484,17506,1,Bon,Non
2954,2923,12980,1,Bon,Non
2955,3533,8981,9,Bon,Non
2956,3074,14406,8,Bon,Non
2957,2696,4225,3,Bon,Oui
2958,2590,10105,4,Bon,Non
2959,3712,11391,8,Bon,Non
2960,3254,2445,5,Bon,Oui
2961,1909,2425,8,Bon,Oui
2962,2961,6722,8,Mauvais,Non
2963,1507,8494,5,Bon,Non
2964,3816,9836,7,Mauvais,Non
2965,4797,12704,6,Bon,Non
2966,4477,19242,5,Mauvais,Non
2967,4281,5831,7,Mauvais,Non
2968,4655,4733,9,Mauvais,Non
2969,3200,8806,6,Bon,Non
2970,1650,19866,8,Mauvais,Non
2971,1690,15181,8,Bon,Non
2972,3622,14148,10,Mauvais,Non
2973,4285,7811,7,Mauvais,Non
2974,4765,7328,2,Bon,Oui
2975,2791,11884,2,Bon,Non
2976,2260,13729,4,Mauvais,Non
2977,2484,11285,6,Mauvais,Non
2978,4287,16790,2,Bon,Non
2979,1794,2050,4,Mauvais,Non
2980,3171,2913,10,Bon,Oui
2981,2579,8337,10,Mauvais,Non
2982,4067,3570,5,Mauvais,Non
2983,2033,18781,9,Bon,Non
2984,2625,19808,9,Mauvais,Non
2985,4550,16909,10,Mauvais,Non
2986,2510,8055,8,Mauvais,Non
2987,4533,16179,3,Mauvais,Non
2988,3771,5982,5,Bon,Oui
2989,3245,8712,7,Mauvais,Non
2990,4114,16686,5,Mauvais,Non
2991,1854,12114,2,Bon,Non
2992,4638,2544,7,Mauvais,Non
2993,4064,13830,7,Bon,Non
2994,3115,9630,9,Mauvais,Non
2995,2598,2922,10,Bon,Oui
2996,3110,13390,3,Bon,Non
2997,2875,12598,8,Bon,Non
2998,1526,16082,8,Mauvais,Non
2999,3037,17532,5,Bon,Non
3000,4369,4193,4,Bon,Oui
3001,3259,7326,3,Bon,Non
3002,3720,9098,4,Mauvais,Non
3003,4043,7507,5,Bon,Oui
3004,3571,9317,1,Mauvais,Non
3005,3602,4686,2,Mauvais,Non
3006,2381,7061,6,Mauvais,Non
3007,2599,19643,4,Bon,Non
3008,2836,15949,6,Mauvais,Non
3009,1848,3134,3,Bon,Oui
3010,3510,15348,1,Bon,Non
3011,2370,2269,3,Bon,Oui
3012,2994,8123,10,Mauvais,Non
3013,1921,4273,8,Mauvais,Non
3014,3118,5776,7,Mauvais,Non
3015,4273,12757,3,Bon,Non
3016,4429,6667,2,Bon,Oui
3017,1796,18516,6,Mauvais,Non
3018,4034,9639,3,Bon,Non
3019,3162,14805,2,Mauvais,Non
3020,3489,13717,9,Bon,Non
3021,1510,17739,3,Bon,Non
3022,3841,10651,8,Bon,Non
3023,4020,10518,4,Mauvais,Non
3024,4653,18398,10,Mauvais,Non
3025,4578,18900,5,Mauvais,Non
3026,1738,8323,2,Bon,Non
3027,2954,2839,7,Bon,Oui
3028,4376,16306,1,Mauvais,Non
3029,4132,10990,1,Mauvais,Non
3030,4258,9610,10,Bon,Non
3031,4322,12948,3,Bon,Non
3032,3978,13155,9,Mauvais,Non
3033,2031,17938,4,Bon,Non
3034,2338,15083,8,Bon,Non
3035,1666,11758,4,Mauvais,Non
3036,4400,2278,6,Mauvais,Non
3037,3910,2512,9,Mauvais,Non
3038,2619,15110,5,Bon,Non
3039,3080,19431,1,Mauvais,Non
3040,3596,15929,6,Mauvais,Non
3041,2884,8681,2,Bon,Non
3042,4053,12484,3,Mauvais,Non
3043,2175,9370,3,Bon,Non
3044,2556,10010,6,Bon,Non
3045,4197,14507,5,Bon,Non
3046,4498,9883,4,Mauvais,Non
3047,2340,16592,9,Mauvais,Non
3048,2041,5023,5,Bon,Non
3049,4171,5381,6,Bon,Oui
3050,3213,4694,3,Bon,Oui
3051,4330,19353,3,Bon,Non
3052,4522,13116,9,Mauvais,Non
3053,3479,19176,5,Mauvais,Non
3054,4893,9256,2,Bon,Oui
3055,3941,5995,10,Bon,Oui
3056,2003,2129,1,Bon,Oui
3057,1852,4914,10,Bon,Non
3058,3723,4538,1,Mauvais,Non
3059,3503,10049,3,Mauvais,Non
3060,3563,12529,3,Mauvais,Non
3061,4970,4033,6,Mauvais,Non
3062,1717,12904,6,Bon,Non
3063,2038,5791,2,Bon,Non
3064,4568,12168,5,Mauvais,Non
3065,2372,17742,10,Mauvais,Non
3066,1766,4365,7,Mauvais,Non
3067,4143,12427,9,Mauvais,Non
3068,1533,2442,9,Bon,Oui
3069,2413,12152,5,Bon,Non
3070,2398,8515,6,Bon,Non
3071,4066,17307,4,Mauvais,Non
3072,2992,17654,5,Bon,Non
3073,4413,5089,7,Bon,Oui
3074,4360,12457,10,Mauvais,Non
3075,2827,15425,2,Mauvais,Non
3076,3628,12583,9,Bon,Non
3077,2582,9263,3,Mauvais,Non
3078,4534,17939,6,Bon,Non
3079,4977,13207,8,Mauvais,Non
3080,1922,8693,9,Mauvais,Non
3081,2831,3882,6,Bon,Oui
3082,2232,5897,6,Bon,Non
3083,1848,19571,9,Mauvais,Non
3084,2057,16226,6,Mauvais,Non
3085,2570,16680,8,Mauvais,Non
3086,4809,14307,8,Mauvais,Non
3087,3667,13700,3,Bon,Non
3088,2622,14052,5,Bon,Non
3089,2165,16056,6,Bon,Non
3090,4465,15680,4,Mauvais,Non
3091,3181,6750,7,Mauvais,Non
3092,2760,18141,4,Mauvais,Non
3093,2351,16240,6,Bon,Non
3094,3948,5127,7,Bon,Oui
3095,3949,8580,7,Mauvais,Non
3096,1786,16118,7,Mauvais,Non
3097,3019,7791,1,Mauvais,Non
3098,1580,18286,7,Bon,Non
3099,1621,9080,5,Mauvais,Non
3100,2046,2370,4,Bon,Oui
3101,3953,5197,7,Bon,Oui
3102,3673,12789,8,Mauvais,Non
3103,4607,19472,8,Mauvais,Non
3104,3436,4402,1,Mauvais,Non
3105,2607,8438,5,Bon,Non
3106,2658,12014,10,Bon,Non
3107,2910,16121,10,Bon,Non
3108,3577,18240,9,Mauvais,Non
3109,3320,7502,9,Bon,Non
3110,2758,4097,9,Mauvais,Non
3111,4300,17333,5,Bon,Non
3112,1716,5484,1,Mauvais,Non
3113,2885,10500,6,Bon,Non
3114,1670,13752,4,Bon,Non
3115,3608,11397,8,Mauvais,Non
3116,4751,18726,5,Mauvais,Non
3117,4202,2336,5,Bon,Oui
3118,4129,19422,2,Mauvais,Non
3119,1801,17535,3,Mauvais,Non
3120,3089,17453,4,Mauvais,Non
3121,3415,18509,2,Bon,Non
3122,4922,9496,7,Bon,Oui
3123,4970,3587,10,Bon,Oui
3124,4920,18350,10,Bon,Non
3125,2788,11023,1,Bon,Non
3126,3059,4047,5,Bon,Oui
3127,3580,7545,1,Mauvais,Non
3128,1799,10983,6,Mauvais,Non
3129,3290,6530,8,Mauvais,Non
3130,1946,8157,2,Mauvais,Non
3131,2858,16348,3,Mauvais,Non
3132,4317,3968,10,Bon,Oui
3133,3369,18242,4,Bon,Non
3134,3094,16826,4,Bon,Non
3135,4359,10670,3,Bon,Non
3136,2707,17308,6,Mauvais,Non
3137,2474,18404,4,Bon,Non
3138,3117,11605,4,Bon,Non
3139,1988,4288,10,Mauvais,Non
3140,3259,16971,5,Mauvais,Non
3141,4466,11135,2,Bon,Non
3142,1795,13889,7,Mauvais,Non
3143,4751,14715,1,Bon,Non
3144,3897,3031,2,Bon,Oui
3145,1641,6611,8,Mauvais,Non
3146,1930,18442,2,Bon,Non
3147,2221,16926,7,Mauvais,Non
3148,4786,3680,3,Mauvais,Non
3149,1841,13864,2,Mauvais,Non
3150,5000,12042,10,Mauvais,Non
3151,1736,9925,10,Bon,Non
3152,2043,4681,1,Mauvais,Non
3153,4373,18497,5,Bon,Non
3154,3138,7693,10,Bon,Non
3155,4265,13251,5,Mauvais,Non
3156,4774,19796,6,Bon,Non
3157,3611,19008,4,Mauvais,Non
3158,2943,12151,8,Bon,Non
3159,1976,16305,7,Bon,Non
3160,3981,11919,9,Mauvais,Non
3161,1687,7594,3,Bon,Non
3162,3383,4100,3,Mauvais,Non
3163,4096,3976,10,Bon,Oui
3164,2710,19852,1,Bon,Non
3165,2417,10618,6,Bon,Non
3166,3266,11559,9,Bon,Non
3167,2712,16709,4,Mauvais,Non
3168,3298,11994,3,Mauvais,Non
3169,3304,12678,2,Bon,Non
3170,1669,17974,1,Mauvais,Non
3171,4982,18528,3,Mauvais,Non
3172,1788,9754,6,Bon,Non
3173,2507,5699,7,Bon,Non
3174,4772,5354,3,Bon,Oui
3175,1823,12985,5,Bon,Non
3176,2550,8738,7,Mauvais,Non
3177,3900,11311,6,Bon,Non
3178,3719,7490,7,Bon,Non
3179,3765,9876,8,Bon,Non
3180,3321,8629,3,Mauvais,Non
3181,4361,19122,5,Mauvais,Non
3182,4392,16971,9,Mauvais,Non
3183,4727,3520,4,Bon,Oui
3184,4528,8241,10,Bon,Oui
3185,2220,3661,6,Mauvais,Non
3186,3723,11056,1,Mauvais,Non
3187,1751,12553,3,Mauvais,Non
3188,3098,16921,2,Bon,Non
3189,3671,13185,8,Bon,Non
3190,2761,13811,1,Mauvais,Non
3191,4420,7526,1,Mauvais,Non
3192,2994,6832,7,Mauvais,Non
3193,3249,10376,6,Bon,Non
3194,4209,15856,10,Mauvais,Non
3195,2613,2068,3,Mauvais,Non
3196,3063,19569,5,Mauvais,Non
3197,2221,16479,4,Mauvais,Non
3198,3216,7589,1,Bon,Non
3199,3455,17017,2,Mauvais,Non
3200,4211,17968,10,Bon,Non
3201,2774,11717,6,Mauvais,Non
3202,2973,16434,1,Bon,Non
3203,4429,6794,1,Bon,Oui
3204,1539,18013,9,Bon,Non
3205,3286,6377,8,Bon,Oui
3206,3969,4611,7,Mauvais,Non
3207,2212,17759,5,Bon,Non
3208,4710,16808,3,Mauvais,Non
3209,2534,18837,9,Mauvais,Non
3210,4159,17926,9,Bon,Non
3211,1626,16230,9,Bon,Non
3212,4921,18331,7,Mauvais,Non
3213,2925,19067,1,Mauvais,Non
3214,2756,18315,3,Mauvais,Non
3215,4901,11278,2,Mauvais,Non
3216,3795,9320,1,Bon,Non
3217,2114,5817,1,Bon,Non
3218,3128,12477,3,Bon,Non
3219,1651,2523,1,Mauvais,Non
3220,2255,16008,5,Mauvais,Non
3221,3092,10187,9,Mauvais,Non
3222,4550,19906,4,Bon,Non
3223,1506,6363,4,Mauvais,Non
3224,2671,2682,2,Mauvais,Non
3225,1570,14161,3,Bon,Non
3226,3571,12248,7,Bon,Non
3227,2353,2525,2,Mauvais,Non
3228,2189,12888,8,Mauvais,Non
3229,4322,12059,2,Bon,Non
3230,2862,2094,6,Mauvais,Non
3231,2426,10283,7,Bon,Non
3232,3758,5402,1,Bon,Oui
3233,2842,9230,3,Mauvais,Non
3234,3158,8893,5,Mauvais,Non
3235,4735,5592,4,Bon,Oui
3236,3882,14981,8,Bon,Non
3237,4685,8779,9,Bon,Oui
3238,2668,9038,9,Mauvais,Non
3239,4478,7511,9,Mauvais,Non
3240,4110,9579,4,Mauvais,Non
3241,1725,7432,3,Bon,Non
3242,1748,19455,3,Mauvais,Non
3243,4496,14671,4,Mauvais,Non
3244,4823,10147,3,Mauvais,Non
3245,2781,9608,8,Bon,Non
3246,4951,19321,10,Mauvais,Non
3247,4217,6048,2,Bon,Oui
3248,2006,6819,10,Bon,Non
3249,4564,5693,4,Mauvais,Non
3250,3042,12399,1,Bon,Non
3251,1980,10758,8,Mauvais,Non
3252,3135,6334,3,Mauvais,Non
3253,4985,12358,7,Bon,Non
3254,3475,13472,2,Bon,Non
3255,4925,13995,4,Mauvais,Non
3256,1916,18807,4,Bon,Non
3257,2804,6470,7,Mauvais,Non
3258,2369,15278,10,Mauvais,Non
3259,3624,17876,9,Bon,Non
3260,3060,9120,4,Bon,Non
3261,3702,6129,6,Bon,Oui
3262,3646,5588,5,Mauvais,Non
3263,2774,18378,3,Mauvais,Non
3264,4563,13524,2,Mauvais,Non
3265,2744,15450,2,Bon,Non
3266,2266,5723,10,Mauvais,Non
3267,3584,13179,9,Mauvais,Non
3268,2151,6766,7,Mauvais,Non
3269,2834,16354,7,Mauvais,Non
3270,1569,14217,8,Mauvais,Non
3271,4891,3197,3,Mauvais,Non
3272,1851,10070,3,Mauvais,Non
3273,2896,5942,3,Bon,Non
3274,2248,11832,7,Bon,Non
3275,2415,15723,3,Mauvais,Non
3276,1638,13915,3,Bon,Non
3277,2043,4359,4,Mauvais,Non
3278,2311,7362,5,Mauvais,Non
3279,1907,16856,3,Bon,Non
3280,2400,2828,5,Mauvais,Non
3281,3581,4069,7,Mauvais,Non
3282,2237,12089,8,Bon,Non
3283,2632,2034,8,Bon,Oui
3284,4401,16066,2,Mauvais,Non
3285,4587,12667,4,Mauvais,Non
3286,2732,9972,6,Mauvais,Non
3287,2014,12590,10,Bon,Non
3288,3324,17233,6,Bon,Non
3289,2454,3043,4,Bon,Oui
3290,1631,9913,4,Bon,Non
3291,4295,17337,8,Bon,Non
3292,2268,15232,5,Bon,Non
3293,2572,8200,9,Bon,Non
3294,3833,9260,1,Mauvais,Non
3295,1550,11151,9,Bon,Non
3296,2414,10713,6,Mauvais,Non
3297,4960,16857,7,Bon,Non
3298,4324,15936,9,Mauvais,Non
3299,3844,2495,1,Mauvais,Non
3300,1678,10139,5,Bon,Non
3301,3295,9157,4,Mauvais,Non
3302,4208,9383,2,Mauvais,Non
3303,3064,15691,9,Bon,Non
3304,3355,13721,5,Bon,Non
3305,3415,18698,2,Mauvais,Non
3306,2278,18585,2,Bon,Non
3307,4666,14716,1,Mauvais,Non
3308,4426,14092,8,Mauvais,Non
3309,4715,18867,10,Bon,Non
3310,1605,9771,6,Bon,Non
3311,2983,8919,2,Bon,Non
3312,2412,11219,8,Bon,Non
3313,2168,11209,10,Mauvais,Non
3314,2948,4416,10,Mauvais,Non
3315,1822,11590,5,Mauvais,Non
3316,2661,13352,10,Bon,Non
3317,3501,4729,2,Mauvais,Non
3318,1845,12250,1,Mauvais,Non
3319,2064,3420,3,Mauvais,Non
3320,3226,7192,2,Mauvais,Non
3321,4164,19688,10,Mauvais,Non
3322,4600,11870,1,Mauvais,Non
3323,3254,11487,8,Mauvais,Non
3324,4782,4937,8,Mauvais,Non
3325,1545,6000,1,Bon,Non
